address,topics,data,blockNumber,blockHash,timeStamp,gasPrice,gasUsed,logIndex,transactionHash,transactionIndex,decoded_data
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xfbde797d201c681b91056529119e0b02407c7bb96a4a2c75c01fc9667232c8db', '0x000000000000000000000000118ba543ea810eb05be7feaf9d3db84e3d1381c6', '0x000000000000000000000000118ba543ea810eb05be7feaf9d3db84e3d1381c6', '0x000000000000000000000000118ba543ea810eb05be7feaf9d3db84e3d1381c6']",0x0000000000000000000000000000000000000000000000000001c6bf526340000000000000000000000000000000000000000000000000000001c6bf52634000,19113628,0xf2ae1d181a955e7afd88e1e1f7c357c09594ee3b18c2665aac8a693c60d36e71,1706548775,23773092918,200880,183,0xc2b9bff469683f5f3f0123f8c80c71b21b3756fd821a56347793cc55e9a90fa1,97,"{'event': 'Withdraw', 'sender': '0x118ba543ea810eb05be7feaf9d3db84e3d1381c6', 'receiver': '0x118ba543ea810eb05be7feaf9d3db84e3d1381c6', 'owner': '0x118ba543ea810eb05be7feaf9d3db84e3d1381c6', 'amount': 500000000000000, 'iShares': 500000000000000}"
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xfbde797d201c681b91056529119e0b02407c7bb96a4a2c75c01fc9667232c8db', '0x000000000000000000000000b0381dc10bb93f63b236a9f8e3dc409fcd39d810', '0x000000000000000000000000b0381dc10bb93f63b236a9f8e3dc409fcd39d810', '0x000000000000000000000000b0381dc10bb93f63b236a9f8e3dc409fcd39d810']",0x00000000000000000000000000000000000000000000000001743f80aa515d4100000000000000000000000000000000000000000000000001743f80aa515d41,19154104,0xb830463e932c372059e438b65fac1daec0217b5510695a4d85c5e9811cdbfc4f,1707039479,15674635838,198904,254,0x6bc83273f6fd48b8628ddb3f7f95b3264cb8af98448b7d7db0f78fb60fb6028f,86,"{'event': 'Withdraw', 'sender': '0xb0381dc10bb93f63b236a9f8e3dc409fcd39d810', 'receiver': '0xb0381dc10bb93f63b236a9f8e3dc409fcd39d810', 'owner': '0xb0381dc10bb93f63b236a9f8e3dc409fcd39d810', 'amount': 104778513182186817, 'iShares': 104778513182186817}"
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xfbde797d201c681b91056529119e0b02407c7bb96a4a2c75c01fc9667232c8db', '0x0000000000000000000000008528effbe7cdcfc9b6f9bc915c67007a09df42d0', '0x0000000000000000000000008528effbe7cdcfc9b6f9bc915c67007a09df42d0', '0x0000000000000000000000008528effbe7cdcfc9b6f9bc915c67007a09df42d0']",0x00000000000000000000000000000000000000000000000003e65002dde2800000000000000000000000000000000000000000000000000003e65002dde28000,19156126,0x6419c2964b391364e245bd7cd316c6b5fa56895534a7991ac5c5cc4c08f2e92f,1707064007,18079221727,203680,429,0x4fe01f8b0523d72e5d2cb18f2613a7e697fe1b09fd5e9ec2274eb72ba573f514,185,"{'event': 'Withdraw', 'sender': '0x8528effbe7cdcfc9b6f9bc915c67007a09df42d0', 'receiver': '0x8528effbe7cdcfc9b6f9bc915c67007a09df42d0', 'owner': '0x8528effbe7cdcfc9b6f9bc915c67007a09df42d0', 'amount': 281000000000000000, 'iShares': 281000000000000000}"
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xfbde797d201c681b91056529119e0b02407c7bb96a4a2c75c01fc9667232c8db', '0x0000000000000000000000004add6471094e05293602da1d150412a783046838', '0x0000000000000000000000004add6471094e05293602da1d150412a783046838', '0x0000000000000000000000004add6471094e05293602da1d150412a783046838']",0x0000000000000000000000000000000000000000000000000d3812c03ae3acdb0000000000000000000000000000000000000000000000000d3812c03ae3acdb,19160937,0x29b990e1aafa9d5e287bde7ebb02129ecef8eb9fcd0d0ee1b64a628445fae508,1707122303,13520322917,198904,115,0x47be4ef7d2efd9335386bca662ec94fa2ce8645f124208f7568d35e7da1e169c,64,"{'event': 'Withdraw', 'sender': '0x4add6471094e05293602da1d150412a783046838', 'receiver': '0x4add6471094e05293602da1d150412a783046838', 'owner': '0x4add6471094e05293602da1d150412a783046838', 'amount': 952531938019880155, 'iShares': 952531938019880155}"
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xfbde797d201c681b91056529119e0b02407c7bb96a4a2c75c01fc9667232c8db', '0x000000000000000000000000141fa59f55247d82f1f75eed57df2b3ffa715550', '0x000000000000000000000000141fa59f55247d82f1f75eed57df2b3ffa715550', '0x000000000000000000000000141fa59f55247d82f1f75eed57df2b3ffa715550']",0x0000000000000000000000000000000000000000000000000d3cb78d4c33759f0000000000000000000000000000000000000000000000000d3cb78d4c33759f,19161632,0xfa3fbc8d9d60e2c757030e4cf1652ae0d08bacbdd8a1adefce427465e1899959,1707130751,13724532787,198904,312,0x7ae850bd228431de34a15299d40448f1fe3a2a66c3b370475ddff9c3bd59df77,158,"{'event': 'Withdraw', 'sender': '0x141fa59f55247d82f1f75eed57df2b3ffa715550', 'receiver': '0x141fa59f55247d82f1f75eed57df2b3ffa715550', 'owner': '0x141fa59f55247d82f1f75eed57df2b3ffa715550', 'amount': 953839038592415135, 'iShares': 953839038592415135}"
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xfbde797d201c681b91056529119e0b02407c7bb96a4a2c75c01fc9667232c8db', '0x00000000000000000000000067643f0e914fb1cd89c9fcfcec110018ae342163', '0x00000000000000000000000067643f0e914fb1cd89c9fcfcec110018ae342163', '0x00000000000000000000000067643f0e914fb1cd89c9fcfcec110018ae342163']",0x00000000000000000000000000000000000000000000000002d79364359f07b900000000000000000000000000000000000000000000000002d79364359f07b9,19165170,0xdf75a172d6a0c6a9a37ea68037a73f4b20f7c9f76cf6d3188a3e71387e6b84a6,1707173759,18033082531,198892,400,0x18b6b17d342af3d20259b3c3d82df87191417335e6bfe4ae0f2d56ffb1b9fb1a,200,"{'event': 'Withdraw', 'sender': '0x67643f0e914fb1cd89c9fcfcec110018ae342163', 'receiver': '0x67643f0e914fb1cd89c9fcfcec110018ae342163', 'owner': '0x67643f0e914fb1cd89c9fcfcec110018ae342163', 'amount': 204794366674274233, 'iShares': 204794366674274233}"
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xfbde797d201c681b91056529119e0b02407c7bb96a4a2c75c01fc9667232c8db', '0x0000000000000000000000005e5a47069dd0c8c78428be27e180acba37e8e622', '0x0000000000000000000000005e5a47069dd0c8c78428be27e180acba37e8e622', '0x0000000000000000000000005e5a47069dd0c8c78428be27e180acba37e8e622']",0x0000000000000000000000000000000000000000000000000d3812c03ae3acdb0000000000000000000000000000000000000000000000000d3812c03ae3acdb,19165397,0x4f4ae50dd060824b1bb0afb5434a5bc453ff3d65c48dda10abc66a67adc77ef0,1707176483,18713869289,198904,332,0xb3f2b7cf4dbf9fe180cf047d1a5282ad599ffd3acffe28e81758026807c2ac4f,179,"{'event': 'Withdraw', 'sender': '0x5e5a47069dd0c8c78428be27e180acba37e8e622', 'receiver': '0x5e5a47069dd0c8c78428be27e180acba37e8e622', 'owner': '0x5e5a47069dd0c8c78428be27e180acba37e8e622', 'amount': 952531938019880155, 'iShares': 952531938019880155}"
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xfbde797d201c681b91056529119e0b02407c7bb96a4a2c75c01fc9667232c8db', '0x000000000000000000000000e64f243b5209fcaa9017486b98fa814b67e8ca43', '0x000000000000000000000000e64f243b5209fcaa9017486b98fa814b67e8ca43', '0x000000000000000000000000e64f243b5209fcaa9017486b98fa814b67e8ca43']",0x00000000000000000000000000000000000000000000000001525e51f1c1bd2100000000000000000000000000000000000000000000000001525e51f1c1bd21,19166324,0xc9508bc4688a87c066626eae057d8750c68573cf3555942703fa83f37d8e42db,1707187715,26103462001,198904,188,0xb9d948b68de652f0d123659028e47dd464bdfeb5e98526bf9bafbbadbf74b54b,82,"{'event': 'Withdraw', 'sender': '0xe64f243b5209fcaa9017486b98fa814b67e8ca43', 'receiver': '0xe64f243b5209fcaa9017486b98fa814b67e8ca43', 'owner': '0xe64f243b5209fcaa9017486b98fa814b67e8ca43', 'amount': 95242248169569569, 'iShares': 95242248169569569}"
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xfbde797d201c681b91056529119e0b02407c7bb96a4a2c75c01fc9667232c8db', '0x00000000000000000000000002d3b0c2d2a41149be91ac89e2fed7b85cbd5c7e', '0x00000000000000000000000002d3b0c2d2a41149be91ac89e2fed7b85cbd5c7e', '0x00000000000000000000000002d3b0c2d2a41149be91ac89e2fed7b85cbd5c7e']",0x00000000000000000000000000000000000000000000000007ee71a689bbce1d00000000000000000000000000000000000000000000000007ee71a689bbce1d,19167989,0xecc99fa218717c71a189aa13051a45bc43084b57463a1543660ca6f519ed6a76,1707207827,40421000336,198904,264,0x764026b6d25c65e2b746a0063071639b98a4bd4dfa8a6ab85fe35a24c5a5cfc4,167,"{'event': 'Withdraw', 'sender': '0x02d3b0c2d2a41149be91ac89e2fed7b85cbd5c7e', 'receiver': '0x02d3b0c2d2a41149be91ac89e2fed7b85cbd5c7e', 'owner': '0x02d3b0c2d2a41149be91ac89e2fed7b85cbd5c7e', 'amount': 571519162811928093, 'iShares': 571519162811928093}"
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xfbde797d201c681b91056529119e0b02407c7bb96a4a2c75c01fc9667232c8db', '0x000000000000000000000000e32ccb4b4b53ff75c4f46eee04262af3f74aa8af', '0x000000000000000000000000e32ccb4b4b53ff75c4f46eee04262af3f74aa8af', '0x000000000000000000000000e32ccb4b4b53ff75c4f46eee04262af3f74aa8af']",0x0000000000000000000000000000000000000000000000000f5586641b5a05f30000000000000000000000000000000000000000000000000f5586641b5a05f3,19168951,0xae69b29dc115974aef51b852a475b2b50725f15598bb8b678a4ae2a6f5cd2306,1707219443,34665027250,198949,246,0x251ba65f5dfd13fc75a48d1289b9e29136f4b23ca0ee6263d2dd9be389481afc,115,"{'event': 'Withdraw', 'sender': '0xe32ccb4b4b53ff75c4f46eee04262af3f74aa8af', 'receiver': '0xe32ccb4b4b53ff75c4f46eee04262af3f74aa8af', 'owner': '0xe32ccb4b4b53ff75c4f46eee04262af3f74aa8af', 'amount': 1104937048103060979, 'iShares': 1104937048103060979}"
